userId|B001KZG99A|B001GAPC1K|B001I1NGHY|B001FZ9AAU|B000H7I6CU|B005ZMUQCK|B004OBQDJ8|B000H5U832|B000V1Y43W|B004I654WQ|B0049J3QF4|B008UBYTRG|B000W494SI|B000S6LS66|B002LBKDYE|B002VRZEYM|B002UZ5CHO|B001KEHAFI|B001F12J3Y|B002NZTZ8S|B0009XRZ9M|B001F12J48|B00447G29S|B000E5LEXS|B000S5KGH4|B001KEGR8Y|B004L9GLKE|B000M341QO|B000M341QE|B0090XJJT6|B0083SI9AY|B005GHP32W|B000M5AJQS|B000M5AJQI|B000M5AJQ8|B000NGTJTY|B004WO6BPS|B004OBQDH0|B004WX8HFG|B004MPEFBE|B008UZ7MUI|B004WQ1LLA|B001D2WUAC|B001BYLFFS|B000ARIS52|B000ML11RI|B0065AVS0K|B001R4KQDE|B000A1C68S|B0009PBNFW
A141HP4LYPWMSR|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
A328S9RN3U5M68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
A1I7QGUDP043DG|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
A2582KMXLK2P06|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0
A2I6MHMAZZDCRX|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
A27H9DOUGY9FOS|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
AWPODHOB4GFWL|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
A9Q28YTLYREO7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
A2UFG3DMVELP6I|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0
A2M6FIWDCDWDVM|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
